# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	aa	¤#,##0.00	¤ #,##0.00	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ss	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ssy	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	st	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sv	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Special	Deprecated	currency	pattern-standard-standard	syr	¤ #,##0.00;¤ #,##0.00-	¤ #,##0.00	comprehensive
Special	Deprecated	decimal	pattern-standard-standard	syr	#,##0.###;#,##0.###-	#,##0.###	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	szl	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ta	¤#,##,##0.00	¤ #,##0.00	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-noCurrency	ta	#,##0.00	#,##,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tg	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tig	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tk	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tn	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tok	¤#,#0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tpi	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tt	#,##0.00 ¤	¤ #,##0.00	moderate
Special	Deprecated	currency	pattern-standard-standard	tt	#,##0.00¤	#,##0.00 ¤	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	tzm	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	uk	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ur	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	uz	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	uz_Arab	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	uz_Cyrl	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ve	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	vec	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	vi	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	vmw	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	wal	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	xnr	¤#,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	xog	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	yav	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghaa	yo_BJ	▷missing◁	Greater Accra Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghaf	yo_BJ	▷missing◁	Agbegbe Ahafo	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghbe	yo_BJ	▷missing◁	Bono East Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghbo	yo_BJ	▷missing◁	Bono Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghcp	yo_BJ	▷missing◁	Central Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghep	yo_BJ	▷missing◁	Eastern Region (Ghana)	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghne	yo_BJ	▷missing◁	North East Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghnp	yo_BJ	▷missing◁	Northern Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghot	yo_BJ	▷missing◁	Oti Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghsv	yo_BJ	▷missing◁	Savannah Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghtv	yo_BJ	▷missing◁	Volta Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghue	yo_BJ	▷missing◁	Upper East Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghuw	yo_BJ	▷missing◁	Upper West Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghwn	yo_BJ	▷missing◁	Western North Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghwp	yo_BJ	▷missing◁	Western Region	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	isrkv	yo_BJ	▷missing◁	Reykjavík	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr972	yo_BJ	▷missing◁	Mártíníkì	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr973	yo_BJ	▷missing◁	Gùyánà Fránsì	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr974	yo_BJ	▷missing◁	Réunion	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz71	yo_BJ	▷missing◁	Astana	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz75	yo_BJ	▷missing◁	Almaty	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzala	yo_BJ	Almaty	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzast	yo_BJ	Astana	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	uzqr	yo_BJ	▷missing◁	Karakalpakstan	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	incg	yo_BJ	▷missing◁	Chhattisgarh	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inct	yo_BJ	Chhattisgarh	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inod	yo_BJ	▷missing◁	Orissa	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inuk	yo_BJ	▷missing◁	Uttarakhand	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inut	yo_BJ	Uttarakhand	▷removed◁	modern
Units	Duration	year	narrow-displayName	yo_BJ	ọd	ɔd	modern
Units	Duration	year	long-per	yo_BJ	{0} ɔd	{0}/y	modern
Units	Duration	year	short-per	yo_BJ	{0}/ɔd	{0}/y	modern
Units	Duration	year	long-other-nominative	yo_BJ	{0} ọ̀dún	{0} ɔ̀dún	modern
Units	Duration	year	narrow-other-nominative	yo_BJ	{0} ọd	{0} ɔd	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Special	Suppress	Generic	Formats - Standard - Date Formats-full	yue	GyMEEEEd	GyMMMEEEEd	comprehensive
Special	Suppress	Generic	Formats - Standard - Date Formats-long	yue	GyMd	GyMMMd	comprehensive
Special	Suppress	Generic	Formats - Standard - Date Formats-medium	yue	GyMd	GyMMMd	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Date Formats-full	yue	yMEEEEd	yMMMEEEEd	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Date Formats-long	yue	yMd	yMMMd	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Date Formats-medium	yue	yMd	yMMMd	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (South America)	South America-Subdivisions	clvs	yue_Hans	▷missing◁	瓦尔帕莱索大区	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mamar	yue_Hans	▷missing◁	马拉喀什	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etaf	yue_Hans	▷missing◁	阿法尔州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etam	yue_Hans	▷missing◁	岩哈拉州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etbe	yue_Hans	▷missing◁	本尚古勒-古马兹州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etdd	yue_Hans	▷missing◁	德雷达华	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etga	yue_Hans	▷missing◁	甘贝拉州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etha	yue_Hans	▷missing◁	哈勒尔州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etor	yue_Hans	▷missing◁	奥罗米亚州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etsi	yue_Hans	▷missing◁	锡达马州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etso	yue_Hans	▷missing◁	索马里州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etsw	yue_Hans	▷missing◁	西南埃塞俄比亚人民州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etti	yue_Hans	▷missing◁	提格雷州	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	tz31	yue_Hans	▷missing◁	森圭区	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	dk81	yue_Hans	▷missing◁	北日德兰大区	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	dk82	yue_Hans	▷missing◁	中日德兰大区	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	dk83	yue_Hans	▷missing◁	南丹麦大区	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	dk84	yue_Hans	▷missing◁	首都大区	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi02	yue_Hans	▷missing◁	南卡尔亚拉	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi03	yue_Hans	▷missing◁	南博滕	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi04	yue_Hans	▷missing◁	南萨窝	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi05	yue_Hans	▷missing◁	卡伊努	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi06	yue_Hans	▷missing◁	坎塔海梅	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi07	yue_Hans	▷missing◁	中博滕	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi08	yue_Hans	▷missing◁	中芬兰	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi09	yue_Hans	▷missing◁	屈米	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi10	yue_Hans	▷missing◁	纳兰	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi11	yue_Hans	▷missing◁	皮尔卡	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi12	yue_Hans	▷missing◁	博滕	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi13	yue_Hans	▷missing◁	北卡尔亚拉	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi14	yue_Hans	▷missing◁	北博滕	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi15	yue_Hans	▷missing◁	北萨窝	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi16	yue_Hans	▷missing◁	派亚特海梅	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi17	yue_Hans	▷missing◁	萨塔昆塔	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi18	yue_Hans	▷missing◁	新地区	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	fi19	yue_Hans	▷missing◁	西南芬兰	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	isrkv	yue_Hans	▷missing◁	雷克雅未克	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no11	yue_Hans	▷missing◁	罗加兰	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no15	yue_Hans	▷missing◁	默勒鲁姆斯达尔	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no34	yue_Hans	▷missing◁	内陆郡	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no42	yue_Hans	▷missing◁	阿格德尔	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no46	yue_Hans	▷missing◁	韦斯特兰	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no50	yue_Hans	▷missing◁	特伦德拉格	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bevan	yue_Hans	▷missing◁	安特卫普省	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bevbr	yue_Hans	▷missing◁	弗拉芒布拉邦	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bevli	yue_Hans	▷missing◁	林堡省 (比利时)	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bevov	yue_Hans	▷missing◁	东法兰德斯	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bevwv	yue_Hans	▷missing◁	西法兰德斯	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bewbr	yue_Hans	▷missing◁	华隆布拉邦	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bewht	yue_Hans	▷missing◁	埃诺	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bewlg	yue_Hans	▷missing◁	列日省	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bewlx	yue_Hans	▷missing◁	卢森堡省	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	bewna	yue_Hans	▷missing◁	那慕尔省	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr6ae	yue_Hans	▷missing◁	阿尔萨斯	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr972	yue_Hans	▷missing◁	马提尼克	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr973	yue_Hans	▷missing◁	法属圭亚那	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr974	yue_Hans	▷missing◁	留尼旺	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	cz32	yue_Hans	▷missing◁	柏辛州	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esav	yue_Hans	▷missing◁	阿维拉省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esbi	yue_Hans	▷missing◁	比斯开省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esbu	yue_Hans	▷missing◁	布尔戈斯省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esc	yue_Hans	▷missing◁	拉科鲁尼亚省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esco	yue_Hans	▷missing◁	哥多华省 (西班牙)	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	eslu	yue_Hans	▷missing◁	卢高省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esor	yue_Hans	▷missing◁	欧伦萨省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esp	yue_Hans	▷missing◁	帕伦西亚省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	essg	yue_Hans	▷missing◁	塞哥维亚省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esss	yue_Hans	▷missing◁	吉普斯夸省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esvi	yue_Hans	▷missing◁	阿拉瓦省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esza	yue_Hans	▷missing◁	萨莫拉省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	hr05	yue_Hans	▷missing◁	华拉斯汀县	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itcs	yue_Hans	▷missing◁	高臣扎省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itcz	yue_Hans	▷missing◁	卡坦扎罗省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itfr	yue_Hans	▷missing◁	费辛隆尼省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itkr	yue_Hans	▷missing◁	克罗托内省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itlt	yue_Hans	▷missing◁	勒天拿省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itri	yue_Hans	▷missing◁	列蒂省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itvt	yue_Hans	▷missing◁	维特波省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itvv	yue_Hans	▷missing◁	威宝华伦缇亚省	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt03	yue_Hans	▷missing◁	比尔古	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz11	yue_Hans	▷missing◁	厄莫拉州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz15	yue_Hans	▷missing◁	厄托别州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz19	yue_Hans	▷missing◁	阿拉木图州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz23	yue_Hans	▷missing◁	阿特劳州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz27	yue_Hans	▷missing◁	西哈萨克州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz31	yue_Hans	▷missing◁	江布州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz35	yue_Hans	▷missing◁	卡拉干达州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz39	yue_Hans	▷missing◁	哥斯塔里州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz43	yue_Hans	▷missing◁	基孜罗达州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz47	yue_Hans	▷missing◁	曼节斯套州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz55	yue_Hans	▷missing◁	巴甫洛达州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz59	yue_Hans	▷missing◁	北哈萨克州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz61	yue_Hans	▷missing◁	突厥斯坦州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz63	yue_Hans	▷missing◁	东哈萨克州	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz71	yue_Hans	▷missing◁	阿斯塔纳	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz75	yue_Hans	▷missing◁	阿拉木图	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz79	yue_Hans	▷missing◁	苫勤	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzakm	yue_Hans	厄莫拉州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzakt	yue_Hans	厄托别州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzala	yue_Hans	阿拉木图	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzalm	yue_Hans	阿拉木图州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzast	yue_Hans	阿斯塔纳	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzaty	yue_Hans	阿特劳州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkar	yue_Hans	卡拉干达州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkus	yue_Hans	哥斯塔里州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkzy	yue_Hans	基孜罗达州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzman	yue_Hans	曼节斯套州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzpav	yue_Hans	巴甫洛达州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzsev	yue_Hans	北哈萨克州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzshy	yue_Hans	苫勤	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzvos	yue_Hans	东哈萨克州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzyuz	yue_Hans	突厥斯坦州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzzap	yue_Hans	西哈萨克州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzzha	yue_Hans	江布州	▷removed◁	modern
Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kp15	yue_Hans	▷missing◁	开城	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	incg	yue_Hans	▷missing◁	查蒂斯加尔邦	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	indh	yue_Hans	▷missing◁	达德拉-纳加尔哈维利-达曼-第乌	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inod	yue_Hans	▷missing◁	奥迪沙邦	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	intg	yue_Hans	泰伦加纳邦	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ints	yue_Hans	▷missing◁	泰伦加纳邦	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inuk	yue_Hans	▷missing◁	北阿坎德邦	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inut	yue_Hans	北阿坎德邦	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh1	yue_Hans	▷missing◁	班迭棉芷省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh2	yue_Hans	▷missing◁	马德望省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh3	yue_Hans	▷missing◁	磅湛省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh4	yue_Hans	▷missing◁	磅清扬省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh5	yue_Hans	▷missing◁	磅士卑省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh6	yue_Hans	▷missing◁	磅通省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh7	yue_Hans	▷missing◁	贡布省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh8	yue_Hans	▷missing◁	甘丹省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh9	yue_Hans	▷missing◁	国公省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh10	yue_Hans	▷missing◁	桔井省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh11	yue_Hans	▷missing◁	蒙多基里省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh13	yue_Hans	▷missing◁	柏威夏省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh14	yue_Hans	▷missing◁	波萝勉省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh15	yue_Hans	▷missing◁	菩萨省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh16	yue_Hans	▷missing◁	拉达那基里省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh17	yue_Hans	▷missing◁	暹粒省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh18	yue_Hans	▷missing◁	施亚努省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh19	yue_Hans	▷missing◁	上丁省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh20	yue_Hans	▷missing◁	柴桢省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh21	yue_Hans	▷missing◁	茶胶省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh22	yue_Hans	▷missing◁	奥多棉芷省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh23	yue_Hans	▷missing◁	白马省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh24	yue_Hans	▷missing◁	拜连省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	kh25	yue_Hans	▷missing◁	特本卡蒙省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	laat	yue_Hans	▷missing◁	阿速坡省	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	labk	yue_Hans	▷missing◁	博胶省	modern
