#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
‡ast	Asturian	Latin	moderate	moderate	n/a	direction	Units	Coordinates	all	long-displayName	http://st.unicode.org/cldr-apps/v#/ast//f8a86481ab6f7c4
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}⋅{1}	Units	Compound Units	times	short	http://st.unicode.org/cldr-apps/v#/ast//1f481381246e1911
‡ast	Asturian	Latin	moderate	moderate	n/a	direction	Units	Coordinates	all	short-displayName	http://st.unicode.org/cldr-apps/v#/ast//354e1ea2070e20ca
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}, {1}	Miscellaneous	Displaying Lists	Narrow “Or” List	start	http://st.unicode.org/cldr-apps/v#/ast//73d7f5db9cc0c635
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}, {1}	Miscellaneous	Displaying Lists	Narrow “Or” List	middle	http://st.unicode.org/cldr-apps/v#/ast//424ec989429f47f4
‡ast	Asturian	Latin	moderate	moderate	n/a	{0} o {1}	Miscellaneous	Displaying Lists	Narrow “Or” List	end	http://st.unicode.org/cldr-apps/v#/ast//236884c8f32f5529
‡ast	Asturian	Latin	moderate	moderate	n/a	{0} o {1}	Miscellaneous	Displaying Lists	Narrow “Or” List	2	http://st.unicode.org/cldr-apps/v#/ast//6dc44d3d6c2eb297
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}, {1}	Miscellaneous	Displaying Lists	Short “Or” List	start	http://st.unicode.org/cldr-apps/v#/ast//3a0c050836c60b63
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}, {1}	Miscellaneous	Displaying Lists	Short “Or” List	middle	http://st.unicode.org/cldr-apps/v#/ast//f3d6bab1a545be8
‡ast	Asturian	Latin	moderate	moderate	n/a	{0} o {1}	Miscellaneous	Displaying Lists	Short “Or” List	end	http://st.unicode.org/cldr-apps/v#/ast//f9db97e964d1ed1
‡ast	Asturian	Latin	moderate	moderate	n/a	{0} o {1}	Miscellaneous	Displaying Lists	Short “Or” List	2	http://st.unicode.org/cldr-apps/v#/ast//3e4ecd594cd0cfa7
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}, {1}	Miscellaneous	Displaying Lists	Narrow “and” List	start	http://st.unicode.org/cldr-apps/v#/ast//341abd84f9a08a7a
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}, {1}	Miscellaneous	Displaying Lists	Narrow “and” List	middle	http://st.unicode.org/cldr-apps/v#/ast//d26e13a8fd3523c
‡ast	Asturian	Latin	moderate	moderate	n/a	{0} y {1}	Miscellaneous	Displaying Lists	Narrow “and” List	end	http://st.unicode.org/cldr-apps/v#/ast//3cfedeed6666782c
‡ast	Asturian	Latin	moderate	moderate	n/a	{0} y {1}	Miscellaneous	Displaying Lists	Narrow “and” List	2	http://st.unicode.org/cldr-apps/v#/ast//7c156a882e8a7d4a
‡ast	Asturian	Latin	moderate	moderate	n/a	h a	Date & Time	Generic	Formats - Flexible - 12 Hour Time Formats	h	http://st.unicode.org/cldr-apps/v#/ast//78a9379d31bea109
‡ast	Asturian	Latin	moderate	moderate	n/a	HH	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	H	http://st.unicode.org/cldr-apps/v#/ast//735ca872d30800ce
‡ast	Asturian	Latin	moderate	moderate	n/a	h:mm a	Date & Time	Generic	Formats - Flexible - 12 Hour Time Formats	hm	http://st.unicode.org/cldr-apps/v#/ast//2286b39dc852af0c
‡ast	Asturian	Latin	moderate	moderate	n/a	HH:mm	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hm	http://st.unicode.org/cldr-apps/v#/ast//72d4097e5b2ded68
‡ast	Asturian	Latin	moderate	moderate	n/a	h:mm:ss a	Date & Time	Generic	Formats - Flexible - 12 Hour Time Formats	hms	http://st.unicode.org/cldr-apps/v#/ast//e45d26b1c9b5692
‡ast	Asturian	Latin	moderate	moderate	n/a	HH:mm:ss	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	Hms	http://st.unicode.org/cldr-apps/v#/ast//42909d3ff8541dc1
‡ast	Asturian	Latin	moderate	moderate	n/a	mm:ss	Date & Time	Generic	Formats - Flexible - 24 Hour Time Formats	ms	http://st.unicode.org/cldr-apps/v#/ast//2148bf0459c6ab67
‡ast	Asturian	Latin	moderate	moderate	n/a	#,##0.00	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency-noCurrency	http://st.unicode.org/cldr-apps/v#/ast//5666b8876422ed2e
‡br	Breton	Latin	moderate	moderate	n/a	{1}, {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime	http://st.unicode.org/cldr-apps/v#/br//2c0d283f4538da0e
‡br	Breton	Latin	moderate	moderate	n/a	{1} {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	short-atTime	http://st.unicode.org/cldr-apps/v#/br//307554bf43a9b71c
‡br	Breton	Latin	moderate	moderate	n/a	GGGGG y-MM-dd	Date & Time	Generic	Formats - Flexible - Date Formats	GyMd	http://st.unicode.org/cldr-apps/v#/br//2460eb0ab964182f
‡br	Breton	Latin	moderate	moderate	n/a	GGGGG y-MM-dd	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMd	http://st.unicode.org/cldr-apps/v#/br//720b48090ba506b2
‡br	Breton	Latin	moderate	moderate	n/a	null	Timezones	North America	Yukon	standard-long	http://st.unicode.org/cldr-apps/v#/br//5a474fd785a80c35
‡br	Breton	Latin	moderate	moderate	n/a	#,##0.00	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency-noCurrency	http://st.unicode.org/cldr-apps/v#/br//5666b8876422ed2e
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	{1} {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full-atTime	http://st.unicode.org/cldr-apps/v#/ff_Adlm//684c7861e871aabd
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	{1} {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long-atTime	http://st.unicode.org/cldr-apps/v#/ff_Adlm//68d56b9b9ac13d3c
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	{1} {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime	http://st.unicode.org/cldr-apps/v#/ff_Adlm//2c0d283f4538da0e
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	{1} {0}	Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	short-atTime	http://st.unicode.org/cldr-apps/v#/ff_Adlm//307554bf43a9b71c
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	G y – G y	Date & Time	Generic	Formats - Intervals - Date Formats	Gy/G	http://st.unicode.org/cldr-apps/v#/ff_Adlm//61311ec5148c7b4
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	G y–y	Date & Time	Generic	Formats - Intervals - Date Formats	Gy/y	http://st.unicode.org/cldr-apps/v#/ff_Adlm//a521492603ab0b5
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM – GGGGG y-MM	Date & Time	Generic	Formats - Intervals - Date Formats	GyM/G	http://st.unicode.org/cldr-apps/v#/ff_Adlm//4da3529635ae80fc
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM – y-MM	Date & Time	Generic	Formats - Intervals - Date Formats	GyM/M	http://st.unicode.org/cldr-apps/v#/ff_Adlm//5087eaa0adc4cca4
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM – y-MM	Date & Time	Generic	Formats - Intervals - Date Formats	GyM/y	http://st.unicode.org/cldr-apps/v#/ff_Adlm//62960bf3419b19b1
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/d	http://st.unicode.org/cldr-apps/v#/ff_Adlm//439e81cebcf40890
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd – GGGGG y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/G	http://st.unicode.org/cldr-apps/v#/ff_Adlm//2c7a89bb9183b31b
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/M	http://st.unicode.org/cldr-apps/v#/ff_Adlm//3dd959ce9a1f3fb1
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Generic	Formats - Intervals - Date Formats	GyMd/y	http://st.unicode.org/cldr-apps/v#/ff_Adlm//4d29b73aecbbc1f2
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/d	http://st.unicode.org/cldr-apps/v#/ff_Adlm//6f77ec54c8c8d789
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd, E – GGGGG y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/G	http://st.unicode.org/cldr-apps/v#/ff_Adlm//48056be21933c47
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/M	http://st.unicode.org/cldr-apps/v#/ff_Adlm//24e714309a479a17
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Generic	Formats - Intervals - Date Formats	GyMEd/y	http://st.unicode.org/cldr-apps/v#/ff_Adlm//2ffee695e4b27d6c
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	G y MMM – G y MMM	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMM/G	http://st.unicode.org/cldr-apps/v#/ff_Adlm//2d6328219811dc8f
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	G y MMM–MMM	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMM/M	http://st.unicode.org/cldr-apps/v#/ff_Adlm//5e0f3b40a32241c3
‡ff_Adlm	Fula (Adlam)	Adlam	moderate	moderate	n/a	G y MMM – y MMM	Date & Time	Generic	Formats - Intervals - Date Formats	GyMMM/y	http://st.unicode.org/cldr-apps/v#/ff_Adlm//1f03135e8b290ad0
