#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-roman-core	https://st.unicode.org/v#/sr_Latn//1b8ef3a124f1f0f4
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-romanlow-core	https://st.unicode.org/v#/sr_Latn//1dedfa7fb2dbc3f4
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-segment-core	https://st.unicode.org/v#/sr_Latn//37e06cb7205af98f
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-tamldec-core	https://st.unicode.org/v#/sr_Latn//50a8057684dec419
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-traditional-core	https://st.unicode.org/v#/sr_Latn//5ce4d1d91e739ec4
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	t0	t0-und	https://st.unicode.org/v#/sr_Latn//174de6255f6f69ad
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	va	va-posix-core	https://st.unicode.org/v#/sr_Latn//3b207cec4cf7a37c
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	[	Core Data	Alphabetic Information	Symbols	Nested Bracked Replacement: (	https://st.unicode.org/v#/sr_Latn//5f07aaec0572deb9
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	［	Core Data	Alphabetic Information	Symbols	Nested Bracked Replacement: （	https://st.unicode.org/v#/sr_Latn//6b3f9432b6084428
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	]	Core Data	Alphabetic Information	Symbols	Nested Bracked Replacement: )	https://st.unicode.org/v#/sr_Latn//cca9090168552a5
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	］	Core Data	Alphabetic Information	Symbols	Nested Bracked Replacement: ）	https://st.unicode.org/v#/sr_Latn//1fead4f36824848a
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	null	Date & Time	Generic	DayOfMonth - abbreviated - Formatting	other	https://st.unicode.org/v#/sr_Latn//700cf0f8a246e004
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	.	Date & Time	Generic	Formats - Numeric - separator	Date	https://st.unicode.org/v#/sr_Latn//373513a7ce47d340
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	:	Date & Time	Generic	Formats - Numeric - separator	Time	https://st.unicode.org/v#/sr_Latn//701f41ee72af59ed
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMM ddd	Date & Time	Generic	Formats - Flexible - Date Formats	GyMMMddd	https://st.unicode.org/v#/sr_Latn//5be00b5b9132f781
