# Grammatical Features
#Locale	ID	Feature	Usage	Values
Danish	da	grammaticalCase	general	nominative, genitive
Danish	da	grammaticalDefiniteness	general	unspecified, indefinite, definite
Danish	da	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dage	<div class='cldr_example'><span class='cldr_substituted'>2</span> dage</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dage</div>
Case (for measurement units)	nominative	Jeg tror, ​​at {0} er nok.	<div class='cldr_example'>Jeg tror, ​​at <span class='cldr_substituted'>1 århundrede</span> er nok.</div><div class='cldr_example'>❌  Jeg tror, ​​at <span class='cldr_substituted'>2 århundreders</span> er nok.</div>
Case (for measurement units)	genitive	Med {0} mellemrum	<div class='cldr_example'>Med <span class='cldr_substituted'>2 århundreders</span> mellemrum</div><div class='cldr_example'>❌  Med <span class='cldr_substituted'>1 århundrede</span> mellemrum</div>
Gender (for measurement units)	common	En {0}	<div class='cldr_example'>En <span class='cldr_substituted'>centimeter</span></div><div class='cldr_example'>❌  En <span class='cldr_substituted'>århundrede</span></div>
Gender (for measurement units)	neuter	Et {0}	<div class='cldr_example'>Et <span class='cldr_substituted'>århundrede</span></div><div class='cldr_example'>❌  Et <span class='cldr_substituted'>centimeter</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
duration	minute • ( = 60 sec)	neuter	Et minut	nominative	{0} minut	Jeg tror, ​​at 1 minut er nok.	{0} minutter	Jeg tror, ​​at 2 minutter er nok.
duration	minute • ( = 60 sec)	neuter	Et minut	genitive	{0} minuts	Med 1 minuts mellemrum	{0} minutters	Med 2 minutters mellemrum
duration	hour • ( = 3,600 sec)	common	En time	nominative	{0} time	Jeg tror, ​​at 1 time er nok.	{0} timer	Jeg tror, ​​at 2 timer er nok.
duration	hour • ( = 3,600 sec)	common	En time	genitive	{0} times	Med 1 times mellemrum	{0} timers	Med 2 timers mellemrum
duration	day • ( = 86,400 sec)	common	En dag	nominative	{0} dag	Jeg tror, ​​at 1 dag er nok.	{0} dage	Jeg tror, ​​at 2 dage er nok.
duration	day • ( = 86,400 sec)	common	En dag	genitive	{0} dags	Med 1 dags mellemrum	{0} dages	Med 2 dages mellemrum
duration	day-person • ( = 86,400 sec)	common	En dag	nominative	{0} dag	Jeg tror, ​​at 1 dag er nok.	{0} dage	Jeg tror, ​​at 2 dage er nok.
duration	day-person • ( = 86,400 sec)	common	En dag	genitive	{0} dag	Med 1 dag mellemrum	{0} dage	Med 2 dage mellemrum
duration	week • ( = 604,800 sec)	common	En uge	nominative	{0} uge	Jeg tror, ​​at 1 uge er nok.	{0} uger	Jeg tror, ​​at 2 uger er nok.
duration	week • ( = 604,800 sec)	common	En uge	genitive	{0} uges	Med 1 uges mellemrum	{0} ugers	Med 2 ugers mellemrum
