# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brrj
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brrn
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brro
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brrr
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brrs
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brsc
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brse
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brsp
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brto
15	Locale Display Names	Territories (South America)	South America-Subdivisions	clta
15	Locale Display Names	Territories (South America)	South America-Subdivisions	codc
15	Locale Display Names	Territories (South America)	South America-Subdivisions	cosap
15	Locale Display Names	Territories (South America)	South America-Subdivisions	pyasu
15	Locale Display Names	Territories (South America)	South America-Subdivisions	uymo
15	Locale Display Names	Territories (South America)	South America-Subdivisions	veo
15	Locale Display Names	Territories (South America)	South America-Subdivisions	vew
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz01
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz02
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz03
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz04
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz05
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz06
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz07
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz08
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz09
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz10
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz11
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz12
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz13
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz14
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz15
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz16
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz17
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz18
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz19
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz20
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz21
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz22
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz24
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz25
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz26
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz27
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz28
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz29
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz30
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz31
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz32
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz33
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz34
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz35
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz36
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz37
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz38
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz39
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz40
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz41
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz42
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz43
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz44
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz45
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz46
