#Locale	Prov.	Unconf.	Missing	Path*
ann	1	0	0	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
ann	1	0	0	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
ann	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/decimal
ann	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/group
ann	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/minusSign
ann	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/percentSign
ann	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/plusSign
ann	61	0	0	Totals
				
apc	0	0	8	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
apc	0	0	1	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
apc	0	0	2	//ldml/dates/calendars/calendar[@type='*']/dayPeriods/dayPeriodContext[@type='*']/dayPeriodWidth[@type='*']/dayPeriod[@type='*']
apc	0	0	7	//ldml/dates/calendars/calendar[@type='*']/days/dayContext[@type='*']/dayWidth[@type='*']/day[@type='*']
apc	0	0	12	//ldml/dates/calendars/calendar[@type='*']/months/monthContext[@type='*']/monthWidth[@type='*']/month[@type='*']
apc	0	0	1	//ldml/dates/timeZoneNames/fallbackFormat
apc	0	0	1	//ldml/dates/timeZoneNames/gmtFormat
apc	0	0	1	//ldml/dates/timeZoneNames/gmtZeroFormat
apc	0	0	1	//ldml/dates/timeZoneNames/hourFormat
apc	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
apc	0	0	1	//ldml/dates/timeZoneNames/regionFormat
apc	0	0	2	//ldml/dates/timeZoneNames/regionFormat[@type='*']
apc	0	0	1	//ldml/delimiters/alternateQuotationEnd
apc	0	0	1	//ldml/delimiters/alternateQuotationStart
apc	0	0	1	//ldml/delimiters/quotationEnd
apc	0	0	1	//ldml/delimiters/quotationStart
apc	0	0	3	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
apc	1	0	0	//ldml/localeDisplayNames/languages/language[@type='*']
apc	0	0	1	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
apc	0	0	1	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
apc	0	0	3	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
apc	1	0	0	//ldml/localeDisplayNames/scripts/script[@type='*']
apc	2	0	0	//ldml/localeDisplayNames/territories/territory[@type='*']
apc	0	0	1	//ldml/numbers/currencyFormats[@numberSystem='*']/currencyFormatLength/currencyFormat[@type='*']/pattern[@type='*']
apc	0	0	1	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
apc	0	0	1	//ldml/numbers/defaultNumberingSystem
apc	0	0	1	//ldml/numbers/otherNumberingSystems/native
apc	0	0	1	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
apc	0	0	1	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
apc	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/decimal
apc	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/group
apc	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/minusSign
apc	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/percentSign
apc	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/plusSign
apc	5	0	60	Totals
				
arn	8	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
arn	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
arn	2	0	0	//ldml/dates/calendars/calendar[@type='*']/dayPeriods/dayPeriodContext[@type='*']/dayPeriodWidth[@type='*']/dayPeriod[@type='*']
arn	7	0	0	//ldml/dates/calendars/calendar[@type='*']/days/dayContext[@type='*']/dayWidth[@type='*']/day[@type='*']
arn	12	0	0	//ldml/dates/calendars/calendar[@type='*']/months/monthContext[@type='*']/monthWidth[@type='*']/month[@type='*']
arn	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
arn	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
arn	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
arn	1	0	0	//ldml/dates/timeZoneNames/hourFormat
arn	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
arn	1	0	0	//ldml/dates/timeZoneNames/regionFormat
arn	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
arn	1	0	0	//ldml/delimiters/alternateQuotationEnd
arn	1	0	0	//ldml/delimiters/alternateQuotationStart
arn	1	0	0	//ldml/delimiters/quotationEnd
arn	1	0	0	//ldml/delimiters/quotationStart
arn	3	0	0	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
arn	1	0	0	//ldml/localeDisplayNames/languages/language[@type='*']
arn	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
arn	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
arn	3	0	0	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
arn	1	0	0	//ldml/localeDisplayNames/scripts/script[@type='*']
arn	2	0	0	//ldml/localeDisplayNames/territories/territory[@type='*']
arn	1	0	0	//ldml/numbers/currencyFormats[@numberSystem='*']/currencyFormatLength/currencyFormat[@type='*']/pattern[@type='*']
arn	1	0	0	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
arn	1	0	0	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
arn	1	0	0	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
arn	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/decimal
arn	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/group
arn	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/minusSign
arn	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/percentSign
arn	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/plusSign
arn	63	0	0	Totals
				
asa	3	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
asa	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
asa	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
asa	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
asa	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
